property_name,area_type,property_type,status,furnishing,facing,description,price,price_num,square_feet,price_per_sqft,floor_info,max_floors
2 BHK Apartment for Sale in Piplod Surat,Carpet Area,Resale,Ready to Move,Furnished,East,"Property is available in prime location. Road Touch property. All basic requirement like Market, Malls, Schools, Hospitals, Airport, Cinemas etc, are available near by the project. This will become your right choice.Read more",₹50 Lac ,5000000.0,800.0,4167.0,5.0,7.0
"2 BHK Apartment for Sale in Sangini Swaraj, Jahangir Pura Surat",Super Area,Resale,Ready to Move,Unfurnished,East,"Corner flat, higher floor, city view and fully vast compliant",₹39 Lac ,3900000.0,1050.0,3714.0,8.0,12.0
1 BHK Apartment for Sale in Vadod Gam Surat,Super Area,Resale,Ready to Move,Semi-Furnished,East,,₹18 Lac ,1800000.0,671.0,2683.0,2.0,5.0
4 BHK Apartment for Sale in Udhna Surat,Super Area,Resale,Ready to Move,Semi-Furnished,East,,₹36 Lac ,3600000.0,1360.0,2647.0,2.0,2.0
2 BHK Apartment for Sale in Althan Surat,Super Area,New Property,Poss. by Jul '24,Unfurnished,East,2 BHK Luxurious Flat For Sell In Althan Area With All Aminities .Read more,₹45 Lac ,4500000.0,1241.0,3626.0,7.0,12.0
"3 BHK Apartment for Sale in Penttagon Residency, Palanpur Jakatnaka Surat",Super Area,New Property,Ready to Move,Unfurnished,East,3 BHK Flat For Sell In Palanpur Area With All Aminities.,₹48.5 Lac ,4850000.0,1384.0,3505.0,7.0,13.0
"1 BHK Apartment for Sale in Regent Plaza, Dindoli Surat",Carpet Area,Resale,Ready to Move,Semi-Furnished,East,,₹22 Lac ,2200000.0,546.0,2597.0,2.0,5.0
3 BHK  House for Sale in Dindoli Surat,Carpet Area,New Property,Ready to Move,Semi-Furnished,East,"Well maintained, 2 bathrooms have attached toilets, plenty of storage shelfs, recently painted, water proof, 1st floor bedrooms are way more spaciousRead more",₹33 Lac ,3300000.0,532.0,6203.0,0.0,1.0
2 BHK Apartment for Sale in Palanpur Gam Surat,Carpet Area,Resale,Ready to Move,Furnished,East,"prime location, near by hospitals + Mall + Cinema + Vegitable mkt , 9km from station, 10km from airport,Read more",₹42 Lac ,4200000.0,980.0,3281.0,1.0,12.0
1 BHK Builder Floor for Sale in Nan Pura Surat,Super Area,Resale,Ready to Move,Unfurnished,East,This property is good for a family man the ground in the middel of the building is a play area. The neighborhoods is so good they treat you like a family. Although water supply is 247. Electricity is always good. The house is renovated just 9 months ago nd all the wiresing is done againRead more,₹22 Lac ,2200000.0,650.0,3385.0,3.0,4.0
1 BHK Apartment for Sale in 103 AjithNath Awas Surat,Super Area,Resale,Ready to Move,Unfurnished,East,call me eight one six zero two nine six nine eight seven.,₹21 Lac ,2100000.0,630.0,3333.0,1.0,4.0
